"[[0.16608881 0.16608881 0.16608881 0.16608881 0.16608881 0.03328762
  0.19436892 0.         0.20974041 0.0214688  0.22300593 0.06292782
  0.17168013 0.07307562 0.19648426 0.05645764 0.15826555]
 [0.35036521 0.35036521 0.35036521 0.35036521 0.35036521 0.29740491
  0.20235887 0.29678796 0.13653085 0.32562174 0.12601012 0.24391581
  0.21670288 0.27869488 0.30073387 0.20133285 0.23905257]
 [0.9509743  0.9509743  0.9509743  0.9509743  0.9509743  0.8329712
  0.84206989 0.65714973 0.66788671 0.50247347 0.52031341 0.49359357
  0.48377297 0.26909242 0.26709812 0.         0.15359534]]","[[0.4947608  0.4947608  0.4947608  0.4947608  0.4947608  0.3666556
  0.45298815 0.33182641 0.46261363 0.39496304 0.47358333 0.39331486
  0.44372686 0.43381913 0.4222676  0.41726115 0.4442275 ]
 [0.2158512  0.2158512  0.2158512  0.2158512  0.2158512  0.24222089
  0.07807152 0.269407   0.         0.29180565 0.05045591 0.20595433
  0.08658829 0.25444961 0.11264701 0.25548512 0.15220822]
 [0.95769626 0.95769626 0.95769626 0.95769626 0.95769626 0.85212015
  0.86377485 0.66243209 0.66470396 0.5093969  0.5362017  0.50083681
  0.50304505 0.24103174 0.24585034 0.01181892 0.03835642]]","[[0.84940989 0.84940989 0.84940989 0.84940989 0.84940989 0.87262692
  0.96390871 0.86119624 0.99768129 0.78720009 0.91841315 0.88565744
  0.94000278 0.85008339 0.95310139 0.90315704 1.        ]
 [0.44331054 0.44331054 0.44331054 0.44331054 0.44331054 0.29291607
  0.46746641 0.20133494 0.4638045  0.26547233 0.50495972 0.27516071
  0.41357765 0.27975892 0.41594822 0.23580344 0.37204215]
 [1.         1.         1.         1.         1.         0.90042983
  0.87285088 0.74387358 0.69168786 0.6428733  0.58161987 0.54037112
  0.53645245 0.26584034 0.26337439 0.01062962 0.00773621]]","[[0.75042427 0.75042427 0.75042427 0.75042427 0.75042427 0.88168321
  0.77150714 0.89547417 0.76433463 0.78266769 0.71456366 0.86833579
  0.79829914 0.83308368 0.77166684 0.85338557 0.80674493]
 [0.67130537 0.67130537 0.67130537 0.67130537 0.67130537 0.72978648
  0.9289461  0.68282517 1.         0.57902656 0.99314094 0.83049413
  0.96255382 0.83493488 0.94970818 0.87509184 0.9964518 ]
 [0.97002916 0.97002916 0.97002916 0.97002916 0.97002916 0.87461867
  0.91789359 0.68935413 0.73522414 0.60283595 0.57874456 0.53950236
  0.56014885 0.2746575  0.29293776 0.00973595 0.02764022]]"
"[[0.18965362 0.18965362 0.18965362 0.18965362 0.18965362 0.03775374
  0.19048776 0.         0.18559793 0.02206027 0.20102384 0.06075859
  0.16574371 0.03722825 0.13691002 0.02454716 0.15564942]
 [0.5231133  0.5231133  0.5231133  0.5231133  0.5231133  0.50140698
  0.41586338 0.50261016 0.34573523 0.57763681 0.33746552 0.47785036
  0.45223456 0.39795369 0.53338509 0.23667868 0.60955914]
 [0.91546473 0.91546473 0.91546473 0.91546473 0.91546473 0.80616883
  0.79407981 0.63871766 0.61701491 0.50761201 0.45584748 0.46020855
  0.46754709 0.23107006 0.2350814  0.02189655 0.09233103]]","[[0.70328129 0.70328129 0.70328129 0.70328129 0.70328129 0.84395634
  0.76126839 0.85126581 0.76436008 0.82774464 0.70489154 0.85106522
  0.80692994 0.83970223 0.78248649 0.85872077 0.79212065]
 [0.65216671 0.65216671 0.65216671 0.65216671 0.65216671 0.68420005
  0.85606503 0.68595123 0.95364749 0.70273584 0.94273014 0.79990578
  0.91920056 0.78425508 0.94763049 0.79010198 1.        ]
 [0.90914911 0.90914911 0.90914911 0.90914911 0.90914911 0.84454593
  0.89675048 0.65301474 0.72916803 0.48325261 0.58081876 0.52897851
  0.55073047 0.26743647 0.29496358 0.00899193 0.0311727 ]]","[[0.48575434 0.48575434 0.48575434 0.48575434 0.48575434 0.35440753
  0.44480268 0.32200161 0.44942121 0.40337341 0.4626914  0.38977484
  0.41443141 0.4311153  0.4116997  0.4046671  0.43852646]
 [0.18556342 0.18556342 0.18556342 0.18556342 0.18556342 0.21621098
  0.04665166 0.24080029 0.         0.25425272 0.04154357 0.17876672
  0.06825925 0.23789553 0.10869523 0.23131461 0.14771182]
 [0.94277939 0.94277939 0.94277939 0.94277939 0.94277939 0.84565449
  0.82373822 0.65274859 0.63714119 0.52310056 0.53908034 0.4894657
  0.46785256 0.23709054 0.24472389 0.01443481 0.04333634]]","[[0.81805643 0.81805643 0.81805643 0.81805643 0.81805643 0.84999668
  0.95012681 0.84667385 0.99826647 0.77860887 0.88821365 0.8568143
  0.93857044 0.87783611 0.96274063 0.90657791 1.        ]
 [0.38168169 0.38168169 0.38168169 0.38168169 0.38168169 0.2350802
  0.37440473 0.18954718 0.40615782 0.2501283  0.43308117 0.22932065
  0.3511093  0.24251728 0.36212576 0.21600028 0.3404625 ]
 [1.         1.         1.         1.         1.         0.86463253
  0.88217111 0.69057101 0.71140646 0.60137747 0.69270464 0.5140486
  0.52658296 0.23144959 0.24984674 0.         0.00849764]]"
"[[0.19086023 0.19086023 0.19086023 0.19086023 0.19086023 0.07134905
  0.22502913 0.         0.26783282 0.07481771 0.30529489 0.09038731
  0.18941206 0.10579126 0.14871853 0.1097241  0.13120146]
 [0.6978594  0.6978594  0.6978594  0.6978594  0.6978594  0.64169702
  0.57903526 0.61748181 0.57536634 0.69500193 0.67295968 0.64426214
  0.60291904 0.72788954 0.5705415  0.77074168 0.52321544]
 [0.93784038 0.93784038 0.93784038 0.93784038 0.93784038 0.8329083
  0.83505674 0.66768114 0.64663198 0.53241685 0.54737747 0.4948633
  0.49529957 0.26031503 0.23581429 0.02189563 0.07133474]]","[[0.47781227 0.47781227 0.47781227 0.47781227 0.47781227 0.33992546
  0.44496996 0.31476441 0.43465738 0.38544499 0.46276738 0.37378875
  0.40351127 0.4218027  0.42875037 0.39804604 0.42803833]
 [0.17437582 0.17437582 0.17437582 0.17437582 0.17437582 0.19179319
  0.04339413 0.22171702 0.         0.22616522 0.0505491  0.17509126
  0.06331992 0.22534282 0.08669877 0.21330078 0.12883435]
 [0.94492824 0.94492824 0.94492824 0.94492824 0.94492824 0.85053654
  0.83070993 0.6578829  0.64990699 0.53726293 0.54067033 0.49921714
  0.49570657 0.25221997 0.2380359  0.01451152 0.0415584 ]]","[[0.6354927  0.6354927  0.6354927  0.6354927  0.6354927  0.76524888
  0.76864675 0.78681721 0.79345808 0.76662517 0.74248805 0.78565977
  0.77662081 0.78314976 0.77118745 0.84549325 0.79503881]
 [0.82173907 0.82173907 0.82173907 0.82173907 0.82173907 0.75039118
  0.93897205 0.72626813 0.99231445 0.70692905 1.         0.82107455
  0.94766968 0.7619824  0.94755245 0.7235236  0.94912586]
 [0.92278706 0.92278706 0.92278706 0.92278706 0.92278706 0.849947
  0.89044024 0.65970998 0.70646848 0.48381986 0.56331679 0.53784557
  0.5416897  0.28219589 0.27885929 0.01889577 0.01194657]]","[[0.77901109 0.77901109 0.77901109 0.77901109 0.77901109 0.84033639
  0.92422603 0.86188812 0.96150986 0.80083487 0.84613201 0.85764316
  0.92179378 0.87320071 0.95620314 0.91387683 1.        ]
 [0.29367351 0.29367351 0.29367351 0.29367351 0.29367351 0.18350844
  0.33964856 0.13138921 0.3835619  0.20341622 0.38506754 0.21485858
  0.31862583 0.21197898 0.32893068 0.19588903 0.30948277]
 [1.         1.         1.         1.         1.         0.87831325
  0.89337384 0.7059759  0.73589178 0.62824633 0.72107214 0.5181184
  0.52352571 0.24888796 0.25841622 0.         0.01430359]]"
"[[0.4485347  0.4485347  0.4485347  0.4485347  0.4485347  0.32370223
  0.42977392 0.29081474 0.41677843 0.38360376 0.45818001 0.34296639
  0.39875692 0.38812914 0.39262879 0.33761959 0.3793692 ]
 [0.15604909 0.15604909 0.15604909 0.15604909 0.15604909 0.17174474
  0.03845895 0.19616931 0.         0.19538201 0.04486115 0.14399248
  0.04970949 0.18563989 0.09420173 0.13539341 0.08389386]
 [0.96650021 0.96650021 0.96650021 0.96650021 0.96650021 0.85966352
  0.8416066  0.66780915 0.64454772 0.52744058 0.52420757 0.50454223
  0.48420895 0.25349491 0.24122391 0.20629141 0.18751996]]","[[0.2079546  0.2079546  0.2079546  0.2079546  0.2079546  0.05405837
  0.20744916 0.         0.23945082 0.06604354 0.28369126 0.11419859
  0.18724742 0.11560981 0.23084512 0.12753605 0.15150532]
 [0.8233294  0.8233294  0.8233294  0.8233294  0.8233294  0.78209262
  0.70789983 0.78360138 0.67370178 0.83500579 0.72308497 0.76842009
  0.74145791 0.79712869 0.77488674 0.77133716 0.63237647]
 [0.92740701 0.92740701 0.92740701 0.92740701 0.92740701 0.83566417
  0.83547483 0.6636272  0.66771026 0.53952387 0.52439442 0.50685139
  0.5150149  0.24882327 0.26607843 0.         0.1150945 ]]","[[0.61172436 0.61172436 0.61172436 0.61172436 0.61172436 0.65773684
  0.76491416 0.66245505 0.81671188 0.64306144 0.79097879 0.69175144
  0.76609124 0.61912251 0.76230222 0.69387953 0.79139363]
 [0.93442427 0.93442427 0.93442427 0.93442427 0.93442427 0.8073125
  0.92851813 0.78125491 0.95896456 0.80067688 1.         0.83139057
  0.89817046 0.85210323 0.88255514 0.84466621 0.83210674]
 [0.95684446 0.95684446 0.95684446 0.95684446 0.95684446 0.87654316
  0.89625027 0.67894346 0.70565371 0.50789199 0.55283216 0.54419291
  0.53799147 0.29454092 0.26927116 0.09987264 0.00142475]]","[[0.76163403 0.76163403 0.76163403 0.76163403 0.76163403 0.83326851
  0.89858132 0.85597095 0.94722147 0.76753884 0.81610931 0.85779066
  0.91120508 0.84995966 0.9481385  0.8980767  1.        ]
 [0.24144847 0.24144847 0.24144847 0.24144847 0.24144847 0.15259141
  0.30035083 0.1096578  0.33344234 0.17218565 0.32328396 0.18099091
  0.28399707 0.19282355 0.29624742 0.1723174  0.2681626 ]
 [1.         1.         1.         1.         1.         0.87759258
  0.89841933 0.71108378 0.72788971 0.6747852  0.69049932 0.5247598
  0.53638166 0.25468262 0.26412719 0.0077368  0.0094928 ]]"
"[[0.53979148 0.53979148 0.53979148 0.53979148 0.53979148 0.5024526
  0.68605631 0.46987029 0.75732102 0.4481756  0.7889424  0.56278801
  0.71531277 0.52168199 0.65678109 0.51406196 0.7104941 ]
 [1.         1.         1.         1.         1.         0.8758548
  0.93661763 0.86052638 0.94559436 0.86027325 0.96484579 0.8983317
  0.93741016 0.95127752 0.93191815 0.94002138 0.8134673 ]
 [0.96424974 0.96424974 0.96424974 0.96424974 0.96424974 0.86542114
  0.88270282 0.65197398 0.6970873  0.47919201 0.53449588 0.51424392
  0.52160356 0.28331795 0.27882218 0.01339203 0.05769274]]","[[0.37690931 0.37690931 0.37690931 0.37690931 0.37690931 0.22740091
  0.35875263 0.18262982 0.35523402 0.28112925 0.35687287 0.2569395
  0.28178129 0.30646529 0.28836396 0.26929563 0.31639854]
 [0.1529137  0.1529137  0.1529137  0.1529137  0.1529137  0.16386063
  0.0465317  0.18445008 0.         0.20296707 0.05381964 0.15344064
  0.06131581 0.18624673 0.08665547 0.1791713  0.09788745]
 [0.95511035 0.95511035 0.95511035 0.95511035 0.95511035 0.85844075
  0.84007563 0.66746067 0.65028699 0.55037401 0.53319409 0.50569138
  0.48262294 0.25354584 0.25860817 0.0161022  0.07694635]]","[[0.11645158 0.11645158 0.11645158 0.11645158 0.11645158 0.02588413
  0.17903284 0.         0.16679414 0.01623048 0.18390694 0.0458884
  0.15109709 0.03671889 0.18083634 0.00659746 0.19487933]
 [0.9472215  0.9472215  0.9472215  0.9472215  0.9472215  0.88868094
  0.829369   0.90755608 0.76975681 0.95801374 0.78055004 0.85547535
  0.86600382 0.834428   0.93036666 0.73780384 0.95365571]
 [0.90247932 0.90247932 0.90247932 0.90247932 0.90247932 0.82275348
  0.81109165 0.65014391 0.63980439 0.50629811 0.49533558 0.45592151
  0.4776987  0.25239713 0.2385772  0.05389918 0.01046936]]","[[0.75173448 0.75173448 0.75173448 0.75173448 0.75173448 0.80310229
  0.9152049  0.8075302  0.97929087 0.69540079 0.83251775 0.84348555
  0.92664722 0.84439959 0.96069734 0.86562014 1.        ]
 [0.26149467 0.26149467 0.26149467 0.26149467 0.26149467 0.1715546
  0.29493748 0.13759812 0.31474881 0.21034371 0.31614987 0.18143456
  0.26254613 0.19243977 0.26165365 0.15896235 0.250583  ]
 [1.         1.         1.         1.         1.         0.87775651
  0.89522652 0.71009661 0.72512411 0.69844761 0.67211139 0.51988345
  0.52564009 0.26585286 0.2577896  0.         0.01178409]]"
"[[0.34535528 0.34535528 0.34535528 0.34535528 0.34535528 0.19302221
  0.33490766 0.15282467 0.30779253 0.25561734 0.34943242 0.22684003
  0.27464036 0.25739321 0.26441488 0.24002141 0.28894148]
 [0.14166296 0.14166296 0.14166296 0.14166296 0.14166296 0.1408949
  0.04225063 0.15194837 0.         0.16679301 0.04060072 0.1189659
  0.04124976 0.14925014 0.05855059 0.15630295 0.06600708]
 [0.98157388 0.98157388 0.98157388 0.98157388 0.98157388 0.86768237
  0.86710737 0.67581407 0.67700601 0.56636859 0.52792513 0.51826702
  0.49632332 0.2580819  0.2531886  0.07591349 0.08389307]]","[[0.57879712 0.57879712 0.57879712 0.57879712 0.57879712 0.44683321
  0.64959786 0.39508617 0.68596193 0.39404108 0.75444724 0.5247219
  0.66354005 0.5128312  0.65191648 0.49833288 0.64759174]
 [0.99693069 0.99693069 0.99693069 0.99693069 0.99693069 0.91806515
  0.91607836 0.92652555 0.87816699 0.96221872 0.87903308 0.90339986
  0.92135316 0.86111185 0.96551918 0.80863995 1.        ]
 [0.9830825  0.9830825  0.9830825  0.9830825  0.9830825  0.879102
  0.88250262 0.68659179 0.68648044 0.51743928 0.51761128 0.52579311
  0.51675905 0.25208746 0.27797133 0.         0.02838736]]","[[0.13630471 0.13630471 0.13630471 0.13630471 0.13630471 0.04911174
  0.24379697 0.         0.3128438  0.0763323  0.34746839 0.11089653
  0.23820584 0.15397879 0.20338186 0.19876093 0.18465484]
 [0.94899679 0.94899679 0.94899679 0.94899679 0.94899679 0.88076237
  0.85818374 0.87020539 0.82660228 0.90761268 0.85897824 0.88551107
  0.86172664 0.90313448 0.87285723 0.90695854 0.82056109]
 [0.93051312 0.93051312 0.93051312 0.93051312 0.93051312 0.85789517
  0.86229559 0.69124508 0.66455235 0.54070497 0.5532334  0.5121248
  0.51690528 0.26582416 0.25571214 0.07010316 0.03216303]]","[[0.78335228 0.78335228 0.78335228 0.78335228 0.78335228 0.79906114
  0.93287526 0.80931868 1.         0.73679804 0.8603509  0.84054125
  0.92999098 0.78977636 0.93022287 0.85117852 0.96030808]
 [0.26916829 0.26916829 0.26916829 0.26916829 0.26916829 0.15883358
  0.25534642 0.11598193 0.26470107 0.18485224 0.28358584 0.15769567
  0.23013163 0.1681222  0.24085165 0.12755895 0.20643395]
 [1.         1.         1.         1.         1.         0.90150876
  0.90878822 0.73144202 0.7382995  0.65877081 0.77872406 0.54524763
  0.54738124 0.27639609 0.27037776 0.01678137 0.01733398]]"
"[[0.25988047 0.25988047 0.25988047 0.25988047 0.25988047 0.13066424
  0.28351261 0.08720011 0.30673169 0.18648727 0.30837904 0.16670501
  0.25537593 0.18621581 0.23590804 0.17683467 0.22922824]
 [0.14673493 0.14673493 0.14673493 0.14673493 0.14673493 0.13102639
  0.04187199 0.13290252 0.         0.15134092 0.03842598 0.10607371
  0.03683574 0.12543541 0.04719871 0.12449499 0.04394964]
 [0.99397008 0.99397008 0.99397008 0.99397008 0.99397008 0.86763556
  0.86368574 0.6685335  0.67111353 0.55622853 0.54340446 0.50855808
  0.49355863 0.25781602 0.24388249 0.06556545 0.03381027]]","[[0.61813521 0.61813521 0.61813521 0.61813521 0.61813521 0.47497687
  0.69604258 0.42831074 0.7322135  0.42081438 0.79530961 0.52448986
  0.68025627 0.51291412 0.63312451 0.52634746 0.63021254]
 [0.98296591 0.98296591 0.98296591 0.98296591 0.98296591 0.94604078
  0.93436809 0.94483666 0.92335469 0.97627836 0.94936501 0.96876989
  0.95607269 1.         0.96266284 0.89272558 0.92200654]
 [1.         1.         1.         1.         1.         0.89507931
  0.88059663 0.69720206 0.66647789 0.54016847 0.51906122 0.54426867
  0.51930339 0.29857908 0.25538603 0.10405038 0.03810161]]","[[0.7865757  0.7865757  0.7865757  0.7865757  0.7865757  0.77577207
  0.92620011 0.7686121  1.         0.72977916 0.85298238 0.81130423
  0.90298878 0.75684307 0.91146346 0.82057527 0.94177055]
 [0.24020675 0.24020675 0.24020675 0.24020675 0.24020675 0.1315552
  0.21542417 0.08990084 0.20818619 0.16655465 0.2326732  0.1350693
  0.20014533 0.13310385 0.19716398 0.09222605 0.16286287]
 [0.99534736 0.99534736 0.99534736 0.99534736 0.99534736 0.90918768
  0.8903112  0.74649765 0.73179584 0.68519856 0.69454886 0.54097682
  0.53882355 0.26855879 0.26011223 0.00286372 0.        ]]","[[0.19876407 0.19876407 0.19876407 0.19876407 0.19876407 0.09551695
  0.23565013 0.         0.3289839  0.3090407  0.28402586 0.11597823
  0.23037506 0.12033924 0.25412457 0.20486077 0.23230703]
 [0.98779304 0.98779304 0.98779304 0.98779304 0.98779304 0.89831253
  0.88288737 0.92604013 0.88507851 0.8913236  0.85716814 0.90894082
  0.90791849 0.91027356 0.89200009 0.86026151 0.86670212]
 [0.91746288 0.91746288 0.91746288 0.91746288 0.91746288 0.81709219
  0.85514897 0.64575969 0.73903357 0.55870507 0.56517481 0.52962291
  0.50013919 0.28906357 0.29781481 0.10628428 0.13201319]]"
"[[0.19969352 0.19969352 0.19969352 0.19969352 0.19969352 0.05168156
  0.23279878 0.         0.23743314 0.09616016 0.23678614 0.10398291
  0.18840245 0.10433175 0.22021278 0.10750591 0.17229464]
 [0.12706353 0.12706353 0.12706353 0.12706353 0.12706353 0.10257081
  0.04630079 0.10187423 0.         0.11753531 0.04370927 0.08513342
  0.03260297 0.08121245 0.03159471 0.07660092 0.00808836]
 [0.99459131 0.99459131 0.99459131 0.99459131 0.99459131 0.86712793
  0.88004556 0.67249941 0.68029384 0.55844382 0.63355693 0.51470257
  0.52013709 0.25682951 0.25874874 0.08709572 0.09662213]]","[[0.76931    0.76931    0.76931    0.76931    0.76931    0.73965489
  0.91920897 0.71328137 1.         0.65412605 0.84077327 0.76507023
  0.88306773 0.805594   0.9048665  0.83214394 0.9566741 ]
 [0.16280032 0.16280032 0.16280032 0.16280032 0.16280032 0.06057287
  0.13899979 0.04233277 0.12550768 0.11808543 0.15363737 0.06754021
  0.11726756 0.05668168 0.11330802 0.04297385 0.11280603]
 [1.         1.         1.         1.         1.         0.91317853
  0.89058324 0.74944783 0.71912567 0.73669609 0.68395151 0.53823962
  0.53537734 0.25515224 0.25956073 0.         0.00625857]]","[[0.6839412  0.6839412  0.6839412  0.6839412  0.6839412  0.47374391
  0.72759656 0.43173065 0.7635398  0.44755912 0.79663174 0.56089724
  0.70796622 0.51385939 0.65324994 0.44508149 0.59546563]
 [1.         1.         1.         1.         1.         0.9429205
  0.94206949 0.95375642 0.9217319  0.98709752 0.95103074 0.99233925
  0.97317429 0.9516372  0.90853341 0.88164706 0.81556373]
 [0.96295683 0.96295683 0.96295683 0.96295683 0.96295683 0.86317311
  0.86721972 0.67933569 0.67121995 0.53509445 0.51309966 0.52595347
  0.52466363 0.30569172 0.28543509 0.11558939 0.06232656]]","[[0.28471295 0.28471295 0.28471295 0.28471295 0.28471295 0.05761866
  0.27819953 0.3879666  0.27141862 0.42381491 0.29640776 0.30349673
  0.23518742 0.27281408 0.28836076 0.22295186 0.25565345]
 [0.9526346  0.9526346  0.9526346  0.9526346  0.9526346  0.90787418
  0.86285184 0.97359526 0.8331194  0.97563724 0.82495435 0.99471213
  0.87159071 0.95793146 0.92026896 0.90266114 0.87956948]
 [0.90721334 0.90721334 0.90721334 0.90721334 0.90721334 0.8292461
  0.8320267  0.66524721 0.65117319 0.51061593 0.48290028 0.51590281
  0.48289975 0.26980032 0.25100834 0.06630028 0.05471059]]"
"[[0.21027237 0.21027237 0.21027237 0.21027237 0.21027237 0.05417431
  0.24691096 0.         0.3063506  0.09583971 0.34281279 0.13540195
  0.26267131 0.14473421 0.28480478 0.13475396 0.2378217 ]
 [0.1462504  0.1462504  0.1462504  0.1462504  0.1462504  0.1141676
  0.06849847 0.10289631 0.03748973 0.12635989 0.06892801 0.09308222
  0.06268299 0.09143424 0.06175539 0.07874983 0.0203989 ]
 [0.99786045 0.99786045 0.99786045 0.99786045 0.99786045 0.86973524
  0.89543314 0.67544642 0.69073804 0.55507227 0.57223239 0.51146538
  0.51309195 0.25649083 0.25973688 0.08417447 0.09661276]]","[[0.74812206 0.74812206 0.74812206 0.74812206 0.74812206 0.74942702
  0.91732176 0.75466694 1.         0.69527786 0.82189002 0.78691976
  0.90280742 0.79861267 0.92693847 0.87513553 0.99576783]
 [0.13722656 0.13722656 0.13722656 0.13722656 0.13722656 0.04166425
  0.11882515 0.         0.11335993 0.07016306 0.13951024 0.05117468
  0.10185312 0.05421562 0.13874296 0.04466421 0.1157327 ]
 [1.         1.         1.         1.         1.         0.90972445
  0.90062765 0.74988131 0.7282663  0.67154332 0.72286806 0.53641729
  0.54241333 0.254675   0.2715797  0.         0.01467674]]","[[0.35295919 0.35295919 0.35295919 0.35295919 0.35295919 0.06338944
  0.41568642 0.43379486 0.43053111 0.4891741  0.45715859 0.20934691
  0.39293938 0.32991389 0.34750302 0.19575756 0.21341304]
 [0.93873165 0.93873165 0.93873165 0.93873165 0.93873165 0.87343026
  0.92210776 0.90341754 0.89651962 0.93536378 0.93191858 0.93410884
  0.94944536 1.         0.92869564 0.88965638 0.88459099]
 [0.95334512 0.95334512 0.95334512 0.95334512 0.95334512 0.83429025
  0.85854489 0.67212534 0.66651594 0.55585413 0.53559728 0.48677331
  0.49534964 0.30185422 0.26021504 0.12290534 0.09961934]]","[[0.59223403 0.59223403 0.59223403 0.59223403 0.59223403 0.45872624
  0.63022915 0.45201436 0.65815602 0.45943777 0.67828125 0.51415708
  0.61174008 0.53892758 0.59497011 0.53940538 0.56936401]
 [0.85369502 0.85369502 0.85369502 0.85369502 0.85369502 0.89300597
  0.8561224  0.89685768 0.84775842 0.88594612 0.8431911  0.9024783
  0.88046684 0.90819387 0.89346974 0.90622202 0.89668879]
 [0.99931101 0.99931101 0.99931101 0.99931101 0.99931101 0.96620776
  0.91418262 0.81792248 0.73844192 0.68592027 0.59879915 0.65114357
  0.6017288  0.428799   0.41545574 0.17442996 0.17854844]]"
"[[0.19714673 0.19714673 0.19714673 0.19714673 0.19714673 0.04210122
  0.26691364 0.         0.32840703 0.07319975 0.35480964 0.11977168
  0.27850977 0.13100839 0.28095228 0.09311358 0.32924431]
 [0.13878266 0.13878266 0.13878266 0.13878266 0.13878266 0.10032416
  0.07456408 0.08997234 0.0490182  0.1094582  0.07571485 0.08407583
  0.06709327 0.07815196 0.07889763 0.06329779 0.08970436]
 [0.97201648 0.97201648 0.97201648 0.97201648 0.97201648 0.85872682
  0.88011342 0.66099831 0.68679322 0.5366822  0.56303851 0.50091301
  0.49872251 0.24780927 0.24475222 0.0844165  0.03681867]]","[[0.69318508 0.69318508 0.69318508 0.69318508 0.69318508 0.7641079
  0.87788214 0.80250159 0.96442808 0.70394454 0.81267978 0.79493168
  0.88085386 0.79159418 0.92250875 0.86634185 0.99602705]
 [0.10277512 0.10277512 0.10277512 0.10277512 0.10277512 0.02975133
  0.10998735 0.         0.11264868 0.04953677 0.11993128 0.04130052
  0.09247563 0.04802102 0.10000954 0.03774703 0.09127979]
 [1.         1.         1.         1.         1.         0.89205413
  0.89706375 0.73823339 0.71640125 0.69166607 0.62478622 0.53788988
  0.54165927 0.25726404 0.26427603 0.         0.0063148 ]]","[[1.         1.         1.         1.         1.         0.78504946
  0.94358488 0.71153735 0.94156908 0.71271595 0.94728442 0.73909788
  0.89802918 0.73473675 0.85590744 0.69125748 0.79010599]
 [0.96430123 0.96430123 0.96430123 0.96430123 0.96430123 1.
  0.935335   0.99070451 0.92312363 0.93747547 0.89248374 0.93154911
  0.92974299 0.91009368 0.89887761 0.86079732 0.85711844]
 [0.94273908 0.94273908 0.94273908 0.94273908 0.94273908 0.88176633
  0.86772587 0.68333408 0.65670477 0.56599235 0.53663208 0.56609633
  0.56886322 0.37225604 0.34637804 0.24129315 0.19031487]]","[[0.36166267 0.36166267 0.36166267 0.36166267 0.36166267 0.3965124
  0.4016768  0.4256774  0.43081599 0.49133804 0.53406665 0.38162734
  0.36521604 0.31496807 0.42785335 0.16264035 0.25490137]
 [0.79019832 0.79019832 0.79019832 0.79019832 0.79019832 0.79548211
  0.79633982 0.79908858 0.80050563 0.80318597 0.81101664 0.79608374
  0.79219711 0.81878533 0.7897276  0.71314692 0.74698604]
 [0.84017711 0.84017711 0.84017711 0.84017711 0.84017711 0.77487717
  0.78360239 0.65410251 0.65440676 0.52668796 0.52541598 0.42121646
  0.35840189 0.30715444 0.26475339 0.1212514  0.14645625]]"
